Dates,yesterday price,dates +1,today's price
Feb-27-2017,849.67,Feb-28-2017,844.93
Feb-28-2017,844.93,Mar-01-2017,856.75
Mar-01-2017,856.75,Mar-02-2017,849.85
Mar-02-2017,849.85,Mar-03-2017,849.08
Mar-03-2017,849.08,Mar-06-2017,847.27
Mar-06-2017,847.27,Mar-07-2017,851.15
Mar-07-2017,851.15,Mar-08-2017,853.64
Mar-08-2017,853.64,Mar-09-2017,857.84
Mar-09-2017,857.84,Mar-10-2017,861.41
Mar-10-2017,861.41,Mar-13-2017,864.58
Mar-13-2017,864.58,Mar-14-2017,865.91
Mar-14-2017,865.91,Mar-15-2017,868.39
Mar-15-2017,868.39,Mar-16-2017,870.00
Mar-16-2017,870.00,Mar-17-2017,872.37
Mar-17-2017,872.37,Mar-20-2017,867.91
Mar-20-2017,867.91,Mar-21-2017,850.14
Mar-21-2017,850.14,Mar-22-2017,849.80
Mar-22-2017,849.80,Mar-23-2017,839.65
Mar-23-2017,839.65,Mar-24-2017,835.14
Mar-24-2017,835.14,Mar-27-2017,838.51
Mar-27-2017,838.51,Mar-28-2017,840.63
Mar-28-2017,840.63,Mar-29-2017,849.87
Mar-29-2017,849.87,Mar-30-2017,849.48
Mar-30-2017,849.48,Mar-31-2017,847.80
Mar-31-2017,847.80,Apr-03-2017,856.75
Apr-03-2017,856.75,Apr-04-2017,852.57
Apr-04-2017,852.57,Apr-05-2017,848.91
Apr-05-2017,848.91,Apr-06-2017,845.10
Apr-06-2017,845.10,Apr-07-2017,842.10
Apr-07-2017,842.10,Apr-10-2017,841.70
Apr-10-2017,841.70,Apr-11-2017,839.88
Apr-11-2017,839.88,Apr-12-2017,841.46
Apr-12-2017,841.46,Apr-13-2017,840.18
Apr-13-2017,840.18,Apr-17-2017,855.13
Apr-17-2017,855.13,Apr-18-2017,853.99
Apr-18-2017,853.99,Apr-19-2017,856.51
Apr-19-2017,856.51,Apr-20-2017,860.08
Apr-20-2017,860.08,Apr-21-2017,858.95
Apr-21-2017,858.95,Apr-24-2017,878.93
Apr-24-2017,878.93,Apr-25-2017,888.84
Apr-25-2017,888.84,Apr-26-2017,889.14
Apr-26-2017,889.14,Apr-27-2017,891.44
Apr-27-2017,891.44,Apr-28-2017,924.52
Apr-28-2017,924.52,May-01-2017,932.82
May-01-2017,932.82,May-02-2017,937.09
May-02-2017,937.09,May-03-2017,948.45
May-03-2017,948.45,May-04-2017,954.72
May-04-2017,954.72,May-05-2017,950.28
May-05-2017,950.28,May-08-2017,958.69
May-08-2017,958.69,May-09-2017,956.71
May-09-2017,956.71,May-10-2017,954.84
May-10-2017,954.84,May-11-2017,955.89
May-11-2017,955.89,May-12-2017,955.14
May-12-2017,955.14,May-15-2017,959.22
May-15-2017,959.22,May-16-2017,964.61
May-16-2017,964.61,May-17-2017,942.17
May-17-2017,942.17,May-18-2017,950.50
May-18-2017,950.50,May-19-2017,954.65
May-19-2017,954.65,May-22-2017,964.07
May-22-2017,964.07,May-23-2017,970.55
May-23-2017,970.55,May-24-2017,977.61
May-24-2017,977.61,May-25-2017,991.86
May-25-2017,991.86,May-26-2017,993.27
May-26-2017,993.27,May-30-2017,996.17
May-30-2017,996.17,May-31-2017,987.09
May-31-2017,987.09,Jun-01-2017,988.29
Jun-01-2017,988.29,Jun-02-2017,996.12
Jun-02-2017,996.12,Jun-05-2017,1003.88
Jun-05-2017,1003.88,Jun-06-2017,996.68
Jun-06-2017,996.68,Jun-07-2017,1001.59
Jun-07-2017,1001.59,Jun-08-2017,1004.28
Jun-08-2017,1004.28,Jun-09-2017,970.12
Jun-09-2017,970.12,Jun-12-2017,961.81
Jun-12-2017,961.81,Jun-13-2017,970.50
Jun-13-2017,970.50,Jun-14-2017,967.93
Jun-14-2017,967.93,Jun-15-2017,960.18
Jun-15-2017,960.18,Jun-16-2017,958.62
Jun-16-2017,958.62,Jun-19-2017,975.22
Jun-19-2017,975.22,Jun-20-2017,968.99
Jun-20-2017,968.99,Jun-21-2017,978.59
Jun-21-2017,978.59,Jun-22-2017,976.62
Jun-22-2017,976.62,Jun-23-2017,986.09
Jun-23-2017,986.09,Jun-26-2017,972.09
Jun-26-2017,972.09,Jun-27-2017,948.09
Jun-27-2017,948.09,Jun-28-2017,961.01
Jun-28-2017,961.01,Jun-29-2017,937.82
Jun-29-2017,937.82,Jun-30-2017,929.68
Jun-30-2017,929.68,Jul-03-2017,919.46
Jul-03-2017,919.46,Jul-05-2017,932.26
Jul-05-2017,932.26,Jul-06-2017,927.69
Jul-06-2017,927.69,Jul-07-2017,940.81
Jul-07-2017,940.81,Jul-10-2017,951.00
Jul-10-2017,951.00,Jul-11-2017,953.53
Jul-11-2017,953.53,Jul-12-2017,967.66
Jul-12-2017,967.66,Jul-13-2017,968.85
Jul-13-2017,968.85,Jul-14-2017,976.91
Jul-14-2017,976.91,Jul-17-2017,975.96
